stars,text,clean_text
3,"....... Desinasi Alami yg wow...... Sayang tidak terawat
Warga dan pemangku jabatan bisa sepat utk perbaiki. Bisa utk peningkatan perekonomian warga.",desinasi alami yang wow sayang tidak terawat warga dan pemangku jabatan bisa sepat untuk perbaiki bisa untuk peningkatan perekonomian warga
5,"Beautiful, majestic, a must finish. The water in the lake appears to be turquoise due to the limestone and light reflecting on the water. A wonderful sight. The only cautionary thing is the locals will act as tour guides, they will try a lot to talk to you, take pictures for you just to get tips. It was a bit annoying, otherwise, great place for sightseeing.",beautiful majestic a must finish sebuah water di sebuah lake appears ke be turquoise due ke sebuah limestone dan light reflecting nyala sebuah water a wonderful sight sebuah hanya cautionary thing adalah sebuah locals akan act sebagai tour guides they akan try a lot ke bicara ke kamu ambil pictures untuk kamu just ke get tips it was a bit annoying otherwise great place untuk sightseeing
5,"Bagus pesonanya, aku suka bangeet suasana alam yg asri bukan SPT bangunan komersil banyak dibuat modern, klo sy suka ""bangunan asli jaman Belandanya tuh artistik"" menurut gaet itu dibangun jaman Belanda.
Sy lebih suka natural tp bersih dirawat jgn dirubah dg bentuk lain spt vila atau sejenis penginapan/ hotel gitu deh nanti keaslian & artistiknya hilang.
Terus sy jg suka dg jl aga2 adventure gitu  seru, next liburan mau ajak mama & family, kerabat kesini deh 😉👍",bagus pesonanya aku suka bangeet suasana alam yang asri bukan seperti bangunan komersil banyak dibuat modern kalau sy suka bangunan asli zaman belandanya itu artistik menurut gaet itu dibangun zaman belanda sy lebih suka natural tapi bersih dirawat jangan dirubah dengan bentuk lain seperti vila atau sejenis penginapan hotel gitu deh nanti keaslian artistiknya hilang terus sy juga suka dengan jl aga adventure gitu seru lanjut liburan mau ajak ibu family kerabat kesini deh
5,"Lokasinya instagramable, tapi perlu dipoles lagi supaya lebih exotis. Terutama jalan menuju lokasi & penunjuk arah ke lokasi belum ada dari jalan utama.",lokasinya instagramable tapi perlu dipoles lagi supaya lebih exotis terutama jalan menuju lokasi penunjuk arah ke lokasi belum ada dari jalan utama
3,"waktu kesini air nya kering, akses jalan masuk perlu di perbaiki, berdebu kalau musim panas ,bekas tambang batu kapur",waktu kesini air nya kering akses jalan masuk perlu di perbaiki berdebu kalau musim panas bekas tambang batu kapur
1,"Jangan kesini lagi deh, tempatnya udah berantakan dan tidak terurus. Banyak pungli juga. Sayang sebenarnya krn msh nampak sisa2 kejayaannya..",jangan kesini lagi deh tempatnya sudah berantakan dan tidak terurus banyak pungli juga sayang sebenarnya karena masih nampak sisa kejayaannya
5,pagi atau sore waktu yg tempat untuk explore lokasi ini.,pagi atau sore waktu yang tempat untuk explore lokasi ini
5,"tempatnya indah semacam hidden gem tapi akses menuju ke sana agak sulit harus melewati jalan yg tertutup semacam lumpur pasir atau semacamnya, hampir batal karena aksesnya tapi akhirnya sampai juga mantapp indah bgt, sayangnya saya kesana siang bolong jadi kurang menikmati karena panas, baiknya datang pagi atau sore pasti lebih nyaman",tempatnya indah semacam hidden gem tapi akses menuju ke sana agak sulit harus melewati jalan yang tertutup semacam lumpur pasir atau semacamnya hampir batal karena aksesnya tapi akhirnya sampai juga mantap indah sekali sayangnya aku kesana siang bolong jadi kurang menikmati karena panas baiknya datang pagi atau sore pasti lebih nyaman
5,"Luar biasa indah, takut bngt berdiri pinggir jurang nya gemetar",luar biasa indah takut sekali berdiri pinggir jurang nya gemetar
5,Sebagai wahana edukasi tentang pentingnya menjaga lingkungan dan kelestarian alam,sebagai wahana edukasi tentang pentingnya menjaga lingkungan dan kelestarian alam
2,Worst experience as day light robbery so not come,worst experience sebagai hari light robbery jadi tidak come
2,"Tempat Yang bagus, sayang sudah tidak terawat",tempat yang bagus sayang sudah tidak terawat
5,"Apapun cerita orang klu kita sendiri tdk membuktikan pasti kurang baik, jadi silahkan yg blm pernah berkunjung buktikan sendiri betapa sensasionalnya ciptaan tuhan",apapun cerita orang klu kita sendiri tidak membuktikan pasti kurang baik jadi silahkan yang blm pernah berkunjung buktikan sendiri betapa sensasionalnya ciptaan tuhan
1,"Akses masuk jalannya rusak, toilet rusak smua, bayar tiket sampe 2x, mahal tp ga orthed",akses masuk jalannya rusak toilet rusak smua bayar tiket sampai x mahal tapi tidak orthed
5,Lokasinya sangat indah dan bagus.,lokasinya sangat indah dan bagus
1,"Jalannya kurang terawat.
Seharusnya klau di jadikan tempat wisata , jalan msuknya di perhatikan.
Trus kenapa harus ada punglii di mana² .
Sudah jauh² malah mengecewakan",jalannya kurang terawat seharusnya kalau di jadikan tempat wisata jalan msuknya di perhatikan terus kenapa harus ada punglii di mana sudah jauh malah mengecewakan
4,"Dulu pernah kesini pas rame2nya, skrg agak sepi, airnya kering, tapi suasananya tetap bagus dan dramatis dengan angle yang tepat",dulu pernah kesini pas ramenya sekarang agak sepi airnya kering tapi suasananya tetap bagus dan dramatis dengan angle yang tepat
4,"MasyaAlloh tabarakallah akhirnya sampe keaini juga setelah 6 thn stay here..🤭🤭🤭
Jd kemaren kita kesinii ada tiket 20rb untuk mobil..
Ada jasa photo professional jugaa kalo mau sewa...
Karna aku rada ngerii jd ga sampe ke puncaknyaa...
Tapi MasyaAlloh viewnya kaya di bali di gwk sih ini.. cuman curam bgt .. kayanya baru juga nih ... karna untuk pengamannya kurang jd gda pager gt takut liatnya ngerii tinggi dan curam....
But so far it's so beautiful view I ever seen before.. kerenn so cool... amazing
Harus kesiniii ...biar pernah dan ada ceritaaa ternyata disini ada wisatanya juga ges...",masyaalloh tabarakallah akhirnya sampai keaini juga setelah thn tinggal sini jd kemarin kita kesinii ada tiket rb untuk mobil ada jasa foto professional juga kalau mau sewa karena aku rada ngerii jd tidak sampai ke puncaknyaa tapi masyaalloh viewnya seperti di bali di gwk sih ini hanya curam sekali seperti baru juga ini karena untuk pengamannya kurang jd gda pager gitu takut liatnya ngerii tinggi dan curam but jadi far its jadi beautiful view i ever seen before kerenn jadi cool amazing harus kesiniii biar pernah dan ada cerita ternyata disini ada wisatanya juga teman
4,"Bukit tambang kapur, sebagian masih dimanfaatkan untuk tambang, sedangkan sebagian sudah dimanfaatkan untuk wisata. Lokasi cukup luas, cocok untuk foto foto dengan tema Outdoor atau cari spot untuk mobil offroad. Lokasi wisata juga cukup sepi, tidak ramai. Untuk tiket masuk mobil 20.000, sedangkan untuk masuk ke kawasan foto dikenakan biaya 5000 per orang.",bukit tambang kapur sebagian masih dimanfaatkan untuk tambang sedangkan sebagian sudah dimanfaatkan untuk wisata lokasi cukup luas cocok untuk foto foto dengan tema outdoor atau cari titik untuk mobil offroad lokasi wisata juga cukup sepi tidak ramai untuk tiket masuk mobil sedangkan untuk masuk ke kawasan foto dikenakan biaya per orang
4,"Banyak wisata tambang kapur, tapi yg ini agak beda....viewnya OK banget. Hanya saja jalan menuju lokasi perlu lebih diperbaiki. PUNGLI nya juga tolong dikurangi...",banyak wisata tambang kapur tapi yang ini agak bedaviewnya ok sekali hanya saja jalan menuju lokasi perlu lebih diperbaiki pungli nya juga tolong dikurangi
5,Lokasi sangat tepat,lokasi sangat tepat
4,"Bagus, cuman kurang terawat",bagus hanya kurang terawat
4,Penambangan bukit kapur membuat goa buatan,penambangan bukit kapur membuat goa buatan
4,Wisata tambang batu kapur yg bagus ....,wisata tambang batu kapur yang bagus
5,"Beberapa tahun lalu pernah ke sini. Panas dan debu sih, tapi seru aja pengalaman & foto-foto.",beberapa tahun lalu pernah ke sini panas dan debu sih tapi seru saja pengalaman fotofoto
3,"Puwwwanaasssss, belum memadai untuk wisata. Pemda seharusnya aware jika tempat tersebut bisa menghasilkan di sektor wisata.",puwwwanaasssss belum memadai untuk wisata pemda seharusnya aware jika tempat tersebut bisa menghasilkan di sektor wisata
5,"Destinasi wisata anti mainstream di Madura, Tambang Kapur yang disulap jadi objek wisata 🫶 Waktu ke sana masih dalam proses renovasi jadi masih sepiii. Cuma di sini gersang dan panasnya poll banget, belum ada tempat makan pula untuk sekedar santai. Kalo mampir ke sini cari Bang Jufri deh, beliau jago banget bantu bikin foto dan video ala profesional, jangan lupa kasih tip di akhir seikhlasnya kalian. Enjoy your vacation :)",destinasi wisata anti mainstream di madura tambang kapur yang disulap jadi objek wisata waktu ke sana masih dalam proses renovasi jadi masih sepiii hanya di sini gersang dan panasnya paling sekali belum ada tempat makan pula untuk sekedar santai kalau mampir ke sini cari kakak jufri deh beliau jago sekali bantu bikin foto dan video ala profesional jangan lupa kasih tip di akhir seikhlasnya kalian nikmat your vacation
3,"Lama Tak main kemari sekarang tambah jelek tempatnya. Jalannya rusak parah, tempat wisatanya tidak terawat, tiket masuk untuk lewat saja 20000 satu sepedamontor dua orang",lama tidak main kemari sekarang tambah jelek tempatnya jalannya rusak parah tempat wisatanya tidak terawat tiket masuk untuk lewat saja satu sepedamontor dua orang
5,Sudah datang beberapa kali bagus buat foto selalu pakai guide buat bantu foto tidak patok harga kasih sepantasnya saja. Musim hujan harus coba datang pasti lebih bagus,sudah datang beberapa kali bagus buat foto selalu pakai guide buat bantu foto tidak patok harga kasih sepantasnya saja musim hujan harus coba datang pasti lebih bagus
2,"Tempatnya sih not bad.
Punglinya yang merajalela.
Please lahhh",tempatnya sih tidak bad punglinya yang merajalela tolong lahhh
4,Jalan masuknya kurang bagus dan panas bgt disini,jalan masuknya kurang bagus dan panas sekali disini
4,"Parkiran cukup luas, mushola & kamar mandi cukup jauh hanya terletak di jalan masuk sebelum lokasi. Ada perahu getek juga. Terdapat banyak warung kopi. Hanya saja banyak pungli. Kurang lebih 3X harus bayar 'tiket' yang tidak jelas",parkiran cukup luas mushola kamar mandi cukup jauh hanya terletak di jalan masuk sebelum lokasi ada perahu getek juga terdapat banyak warung kopi hanya saja banyak pungli kurang lebih x harus bayar tiket yang tidak jelas
1,"tempat ngumpulnya jamet madura, maklum mreka gda tmpt lain.",tempat ngumpulnya jamet madura maklum mreka gda tmpt lain
5,"An amazing place ! It was (actually it is) a cave from where stones for buildings are estracted. The entire scenario is stunning, silent and wild. It could be posssible to stay there for hours, walking, climbing and looking around to catch a different point of view. Use sunglasses, skin protection and a hat becausr the sun is strong. Use trekking shoes, if you have. Do not understimate the place: it could be easy to fall. But there, it will be possible to feel the power of nature, to let fantasy free and imagine a wonderful world through those giant stones and walls. Absolutely marevellous !",an amazing place it was actually it adalah a cave from where stones untuk buildings are estracted sebuah entire scenario adalah stunning diam dan wild it could be posssible ke tinggal there untuk hours walking climbing dan looking around ke catch a different titik of view use sunglasses skin protection dan a hat becausr sebuah sun adalah strong use trekking shoes if kamu punya do tidak understimate sebuah place it could be easy ke fall but there it akan be possible ke merasa sebuah kekuatan of nature ke let fantasy gratis dan imagine a wonderful world lewat those giant stones dan walls absolutely marevellous
5,Amanah,amanah
5,"Nice place
Orangnya baik si jgn lupa kasih tip
Tiket msk mobil 20k
Trz perorg 5k",baik place orangnya baik si jangan lupa kasih tip tiket masuk mobil k trz perorg k
5,"Bekas tempat penambangan kapur (sudah pasif). Terdapat bbrp spot foto yang bagus, bisa minta tolong warga lokal setempat untuk membantu jadi tour guide sekaligus juru foto yang bisa mennujukkan spot nya.

Terimakasih kepada cak Roos yang membantu sesi foto dadakan, sehingga kunjungan kami ke tempat inj lebih menyenangkan",bekas tempat penambangan kapur sudah pasif terdapat beberapa titik foto yang bagus bisa minta tolong warga lokal setempat untuk membantu jadi tour guide sekaligus juru foto yang bisa mennujukkan titik nya terimakasih kepada cak roos yang membantu sesi foto dadakan sehingga kunjungan kami ke tempat ini lebih menyenangkan
4,"Banyak spot foto menarik
Ada guide foto yang menawarkan kita untuk berfoto",banyak titik foto menarik ada guide foto yang menawarkan kita untuk berfoto
5,"Bukit Jaddih adalah bekas tambang yg dijadikan tempat wisata. Dari surabaya naik sepeda pancal ditempuh dalam waktu 2 jam. Naik sepeda tidak kena biaya parkir, tidak ada biaya tiket masuk. Kalo siang suasananya panas dan mungkin cocok untuk dikunjungi di pagi atau sore hari. Saat saya kesana minim banget warung. Wisata ini gambarannya mirip kayak batu kapur atau perbukitan di pantai pandawa bali atau daerah bali selatan.",bukit jaddih adalah bekas tambang yang dijadikan tempat wisata dari surabaya naik sepeda pancal ditempuh dalam waktu jam naik sepeda tidak kena biaya parkir tidak ada biaya tiket masuk kalau siang suasananya panas dan mungkin cocok untuk dikunjungi di pagi atau sore hari saat aku kesana minim sekali warung wisata ini gambarannya mirip seperti batu kapur atau perbukitan di pantai pandawa bali atau daerah bali selatan
5,"Jaddih Hill in Jaddih Village, Socah District, Bangkalan Regency, Madura Island, East Java Province. This hill was originally a limestone mining area which was later made into a tourist attraction. This tourist attraction offers beautiful panoramic view of its limestone mining cliffs and lakes as well as many outbound tourism activities.

© Aswin Nobby Susanto, 2017.",jaddih hill di jaddih village socah district bangkalan regency madura island east java province this hill was originally a limestone mining area which was later made into a tourist attraction this tourist attraction offers beautiful panoramic view of its limestone mining cliffs dan lakes sebagai well sebagai many outbound tourism activities aswin nobby susanto
4,Punya potensi yg bagus tuk dikembangkan dibangkikan kembali oleh pak Haji pemilik kawasan semoga rezwkinya berlimpah dan barokah...,punya potensi yang bagus tuk dikembangkan dibangkikan kembali oleh bapak haji pemilik kawasan semoga rezwkinya berlimpah dan barokah
4,"Lokasinya di pulau Madura kabupaten Bangkalan. Viewnya menarik, area penambangan kapur yg sebagiannya masih aktif ditambang. Terdapat beberapa terowongan yg saling
Terhubung.  Bisa masuk ke dalam terowongan. Beberapa spot menarik utk berfoto. Perlu pengelolaan dan pemeliharaan yg lebih baik, karena aset wisata daerah setempat, juga berkontribusi menggerakkan ekonomi masyarakat sekitarnya. Akses jalan masuk supaya diperbaiki untuk keamanan berkendara bagi wisatawan yg ke sana.",lokasinya di pulau madura kabupaten bangkalan viewnya menarik area penambangan kapur yang sebagiannya masih aktif ditambang terdapat beberapa terowongan yang saling terhubung bisa masuk ke dalam terowongan beberapa titik menarik untuk berfoto perlu pengelolaan dan pemeliharaan yang lebih baik karena aset wisata daerah setempat juga berkontribusi menggerakkan ekonomi masyarakat sekitarnya akses jalan masuk supaya diperbaiki untuk keamanan berkendara bagi wisatawan yang ke sana
5,Kali yang kedua ke bukit Jaddih...kali ini explore lebih banyak ditemani mas photografer lokal,kali yang kedua ke bukit jaddihkali ini explore lebih banyak ditemani kakak photografer lokal
1,Pulang dari sini saya kebegal,pulang dari sini aku kebegal
5,"Better to come during dry season. Generally speaking the road conditions are not ideal for your regular avanza, but it will survive the trip with some luck. No tarred roads from about 1km from the site. Pay 20k to park and 20k to walk around it. Theres lorries and excavation equipment and a watchpost with some friendly guides/guards. Its an open air chalk/limestone almost at the end of its life and has aspirations to be a homestay/waterpark/photo op etc. However none of that compares to its worth as an interesting geotourism site. The photos will make it clear.",better ke come during dry season generally bicara sebuah road conditions are tidak ideal untuk your regular avanza but it akan bertahan sebuah trip dengan some beruntung no tarred roads from about km from sebuah site pay k ke park dan k ke walk around it theres lorries dan excavation equipment dan a watchpost dengan some friendly guidesguards its an buka air chalklimestone hampir at sebuah akhir of its hidup dan has aspirations ke be a homestaywaterparkphoto op dsb however none of itu compares ke its worth sebagai an interesting geotourism site sebuah photos akan buat it clear
5,Great place,great place
5,uenaaak,uenaaak
4,Kereennn,kereennn
1,"Sepertinya aktifitas penambangan sudah dimulai lagi, jadi sekarang udah sepiiii banget ga ada pengunjung. Bayar 20ribu buat masuk ke area bukit jaddih rasanya nyesel karna ga dapat apa² 😅",sepertinya aktifitas penambangan sudah dimulai lagi jadi sekarang sudah sepiiii sekali tidak ada pengunjung bayar ribu buat masuk ke area bukit jaddih rasanya nyesel karena tidak dapat apa
5,"Really cool place not too many people.  You would feel like you are in some kind of RPG game, I honestly really really liked this place, very cool!!!

But the road to get there is quite bad.  I had an old motorbike and my back and bum was sore sore!!!  Definitely worth it though!",benar cool place tidak juga many orang kamu would merasa suka kamu are di some kind of rpg game i honestly benar benar liked this place sangat cool but sebuah road ke get there adalah quite bad i had an old motorbike dan punyaku kembali dan bum was sore sore definitely worth it though
3,"Kurang dimanage dengan baik ya. Akses masuk susah. Hati2 jika kendaraan anda pendek.
Kurang tempat berteduh.
Ada petugas yang menemani kita, bisa dibantu ngambilin foto. Pinter juga teknik fotonya. Sudah hafal spot foto yang bagus.",kurang dimanage dengan baik ya akses masuk susah hati jika kendaraan kamu pendek kurang tempat berteduh ada petugas yang menemani kita bisa dibantu ngambilin foto pintar juga teknik fotonya sudah hafal titik foto yang bagus
5,"Exploitasi alam yang menjadi tempat wisata. namun sudah terbengkalai dan sepi pengunjung.

vibes terasa seperti peninggalan zaman purbakala.

namun sangat disayangkan akses dengan Bus besar bisa tapi kesulitan.",exploitasi alam yang menjadi tempat wisata namun sudah terbengkalai dan sepi pengunjung vibes terasa seperti peninggalan zaman purbakala namun sangat disayangkan akses dengan bus besar bisa tapi kesulitan
5,"Bukit Jaddih sejatinya adalah tambang kapur. Uniknya, saat ini pertambangan masih berlangsung, sehingga ada alat berat dan truk yang berlalu-lalang mengangkut batu kapur.
Menuju Bukit Jaddih tidak terlalu susah. Dari Surabaya setelah melewati Jembatan Suramadu, langsung saja gunakan aplikasi pencari arah. Meski letaknya gampang dicari, tapi tetap harus waspada karena jalan ke Bukit Jaddih terhitung sempit dan beberapa titik berlubang.
Hanya butuh sekitar 20 menit dari Jembatan Suramadu ke Bukit Jaddih. Cukup membayar Rp 20.000 untuk parkir mobil dan Rp 5.000 per orang untuk masuk ke lokasi.
Dikelilingi tembok-tembok bukit kapur yang terpahat cerahnya langit adalah kombinasi serasi. Jangan takut, kedalaman air di danau itu rata-rata 70 sentimeter (cm).",bukit jaddih sejatinya adalah tambang kapur uniknya saat ini pertambangan masih berlangsung sehingga ada alat berat dan truk yang berlalulalang mengangkut batu kapur menuju bukit jaddih tidak terlalu susah dari surabaya setelah melewati jembatan suramadu langsung saja gunakan aplikasi pencari arah meski letaknya gampang dicari tapi tetap harus waspada karena jalan ke bukit jaddih terhitung sempit dan beberapa titik berlubang hanya butuh sekitar menit dari jembatan suramadu ke bukit jaddih cukup membayar rp untuk parkir mobil dan rp per orang untuk masuk ke lokasi dikelilingi temboktembok bukit kapur yang terpahat cerahnya langit adalah kombinasi serasi jangan takut kedalaman air di danau itu ratarata sentimeter cm
5,Eksotik....tp menuju ksna butuh perjuangan dan tetap hati2,eksotiktp menuju ksna butuh perjuangan dan tetap hati
4,Keajaiban dunia,keajaiban dunia
5,Tempat wisata yang sangat indah menjafi ke banggaan indonesia,tempat wisata yang sangat indah menjafi ke banggaan indonesia
5,"sangat bagus sekali tempatnya untuk foto foto
tiket masuk",sangat bagus sekali tempatnya untuk foto foto tiket masuk
5,Bagus view nya memberikan kesan tersendiri buat saya.,bagus view nya memberikan kesan tersendiri buat aku
5,"石灰岩の採掘所だけど観光地。
入場料というか車1台につきRp20.000。
道中はヒドイ道。
景色は物凄く良い。
奥にも下にも見る場所がある。
ガイドらしき人がいるがいくらかは知らない。
奥にも下にも行ったほうが良い。
下はRp5.000取られた。
行く価値は十二分にある。
天気が良ければもっと良かった。
雨なので物凄く滑る。
下は洞穴みたいな感じ
トイレは下の洞窟のところにあります。
水たまりは何であの色なのだろうか？
上にも上がりたいが作業してるし、普通の車だと上がれない位急な坂道なので、上がらない方が良いかと思います。",rp rp
1,b aja,b saja
5,Tempat nya bagus buat foto2. Latar belakang batu kapur,tempat nya bagus buat foto latar belakang batu kapur
4,Bei 5000 Rp. kann man nichts falsch machen.,bei rp kann man nichts falsch machen
5,Indah luar biasa pemandangan,indah luar biasa pemandangan
5,Cool place but the very last of the road was really bad.,cool place but sebuah sangat akhir of sebuah road was benar bad
1,full pungli masuk bayar 3 kali gila,penuh pungli masuk bayar kali gila
2,Tempat wisata yang kurang terurus,tempat wisata yang kurang terurus
5,"Good place, good view anjay",good place good view anjay
4,Sekarang sepi kolam renangnya juga tidak di buka lagi,sekarang sepi kolam renangnya juga tidak di buka lagi
4,"Access road is very bumpy. The place is Unique but underdevelope. Without local guide to share the history and future development of this place, it is not worth visiting.",access road adalah sangat bumpy sebuah place adalah unique but underdevelope tanpa local guide ke bagi sebuah history dan future development of this place it adalah tidak worth visiting
5,Alami .. jalannya lumayan mobil bs masuk..pemandunya ramah..,alami jalannya lumayan mobil bisa masukpemandunya ramah
4,"Perbukitan kapur yang masih beroperasional. Sebagian dibentuk secara sengaja menjadi ruang ruang untuk wisata.
Sayangnya fasilitas umum tidak tersedia dengan baik dan juga signage tidak ada sehingga sulit untuk memahami wilayah ini.",perbukitan kapur yang masih beroperasional sebagian dibentuk secara sengaja menjadi ruang ruang untuk wisata sayangnya fasilitas umum tidak tersedia dengan baik dan juga signage tidak ada sehingga sulit untuk memahami wilayah ini
4,"Bagus sihh view nya, tapi banyak banget bayar bayar di setiap tempat",bagus sihh view nya tapi banyak sekali bayar bayar di setiap tempat
4,"Nice place for sightseeing and taking pictures indeed an instragamable places...
Awalnya agak ragu karena rutenya sangat tidak bagus. Jalan nya batu2 dan kecil bahkan sempat nyasar karena ada jalan ditutup. Tapi setelah sampai disana dibantu mas Maksum (local guide) untuk ambil foto jadi bisa dapat angle dan hasil foto yang bagus....
The point is.. if you want to get a nice picture it won't hurt to get help from the local guide so your trip here will be very much worth. 🥰🥰🥰",baik place untuk sightseeing dan taking pictures indeed an instragamable places awalnya agak ragu karena rutenya sangat tidak bagus jalan nya batu dan kecil bahkan sempat nyasar karena ada jalan ditutup tapi setelah sampai disana dibantu kakak maksum local guide untuk ambil foto jadi bisa dapat angle dan hasil foto yang bagus sebuah titik adalah if kamu want ke get a baik picture it wont hurt ke get bantu from sebuah local guide jadi your trip sini akan be sangat much worth
1,Tidak rekom untuk kesini. Ini tempat penambangan batu kapur bukan wisata. Banyak pungli. Sekali lagi jagan kalau tidak ingin menyesal.,tidak rekom untuk kesini ini tempat penambangan batu kapur bukan wisata banyak pungli sekali lagi jagan kalau tidak ingin menyesal
5,Melihat tambang batu kapur lebih dekat.,melihat tambang batu kapur lebih dekat
2,ok,ok
5,Seruuuuu,seruuuuu
3,"Tempat wisata yang masih sangat sederhana, dikelola secara sederhana",tempat wisata yang masih sangat sederhana dikelola secara sederhana
