title,stars,teks,label,hasil_sentimen,hasil_topik
Wisata Aer Mata Ibu Arosbaya,5,arus baya yang keramat orang yang ngalap berkah,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,alhamdulilah pemakaman terawat suasana yang syahdu kematian,1,positive,1
Wisata Aer Mata Ibu Arosbaya,3,tempatnya bagus bersejarah pengemis mohon dirapikan pengemisnya pengunjung risih berziarah,0,positive,-1
Wisata Aer Mata Ibu Arosbaya,1,bagus parkir pengemis yang suka memaksa penziarah,0,negative,5
Wisata Aer Mata Ibu Arosbaya,3,kotor terawat,0,negative,-1
Wisata Aer Mata Ibu Arosbaya,4,bagus ibu yang tukang,1,positive,0
Wisata Aer Mata Ibu Arosbaya,1,nya bagusjalan nya sedikittapi orang paksaaawalaupun ditolak ngejar saja sampai gandengkalau tidak ngasih sampai mukul mukul nya tidak gimanatapi saja tidak ngenakkin pengunjung,0,negative,2
Wisata Aer Mata Ibu Arosbaya,4,wisata religi kawasan pulau madura tempatnya terpencil pedalaman kampung asri sumber mata air jernih terkenal diminum langsung menyegarkan dipercaya menyembuhkan penyakit,1,positive,2
Wisata Aer Mata Ibu Arosbaya,5,parkirnya,1,negative,0
Wisata Aer Mata Ibu Arosbaya,5,salah wali perempuan madura,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,religion sejuk,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,4,wisata religi aer mata x ziarah makam madura khusus nya makam aer mata banyak yang menjual air mineral sumber yang tidak nyaman banyak pengemis maksa saran kesini jangan buka dompet mending sediakan uang receh pecahan yang,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,nyaman dengan kehadiran peminta,1,positive,0
Wisata Aer Mata Ibu Arosbaya,5,tempatnya bagus sayang pengemis peminta paksa bikin peziaroh gerah,1,positive,5
Wisata Aer Mata Ibu Arosbaya,4,parkir bus luaspenjual makanan,1,positive,15
Wisata Aer Mata Ibu Arosbaya,5,terjaga kesederhanaannya,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,susana aura mencekam lurapalagi pas suro dtg kesana dimakam yang pekat auranya panglima ghoib yang berjaga malam nyai makam beliausilahkan dicoba wisata kesana lur,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,air nya barokah dibawa pulang,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,makam suri,1,positive,1
Wisata Aer Mata Ibu Arosbaya,3,nya bersih akses jalannya perbaiki,0,negative,6
Wisata Aer Mata Ibu Arosbaya,5,menyesap,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,lokasinya ojek jalan parkir kendaraan nyaman bangrt memaksa,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,tempatnya alami bersih,1,positive,11
Wisata Aer Mata Ibu Arosbaya,5,semangat keislaman xouture,1,positive,0
Wisata Aer Mata Ibu Arosbaya,5,batuan karang alami,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,4,uang memaksamsak rokok di saku lansung di saut,1,negative,5
Wisata Aer Mata Ibu Arosbaya,2,yang serem tapi kasihn kasih banyak yang bilng pengunjung jd tidak lgmaaf pengelola merhatiin,0,negative,2
Wisata Aer Mata Ibu Arosbaya,1,saran bagus syarat sejarah disayangkan pengemis memintaminta pengunjung terkesan memaksa mentarget mohon untuk pengelola pemerintah desa memperhatikan halhal rame karena peziarah terkesan intervensi pengemis berdampak kunjungan mohon maaf terima kasih,0,negative,-1
Wisata Aer Mata Ibu Arosbaya,5,makam aermata terletak menit pusat kota bangkalan makam aermata arosbaya hubungan erat sejarah madura dibawah mataram makam aermata makamnya nyai syarifa ambami istrinya cakraningrat makam suramadu tinggal ambil tujuan bangkalan kota bangkalan menit timur arah arosbaya tepatnya bukit kapur arosbaya sekomplek makan bersamayam kerabatkerabat kraton bangkalan tangga makam lapaklapak pedagang jualan trasi krupuk samping komplek arah bukit kapur makam panjaangpanjang kaitannya makam aermata bercampur makam rumah warga wib,1,positive,1
Wisata Aer Mata Ibu Arosbaya,2,tolong pengelolapara pengemis ditertibkan kemarin jatuh gendong anak gara pengemis yang mepet menghalangi jalan,0,negative,-1
Wisata Aer Mata Ibu Arosbaya,1,orang maksa,0,negative,0
Wisata Aer Mata Ibu Arosbaya,5,sejarah air mata arosbaya sejarah makam ratu syarifah ambami istri adipati cakraningrat i raja madura abad cerita rakyat ratu menangis pertapaannya rindu suaminya meninggal air mata ratu membentuk mata air aermata ebu makam ratu terletak desa buduran kecamatan arosbaya kabupaten bangkalan pulau madura makam kompleks pemakaman bangsawan madura wangsa cakraningrat dibangun abad kompleks pemakaman memiliki arsitektur khas gerbang berundak ukiran sulur motif bunga kaligrafi dimakamkan adipati cakraningrat cakraningrat ii iv v vi makam air mata arosbaya salah wisata religi sejarah madura menarik pengunjung mengenal budaya tradisi madura makam saksi bisu perjuangan cinta raja ratu madura,1,positive,1
Wisata Aer Mata Ibu Arosbaya,4,bagus,1,positive,4
Wisata Aer Mata Ibu Arosbaya,2,pengunjung harap berhatihati pengemis disekitar lokasi kali pengemis mengejar saran pengelola membersihkan ziarah pengemis meresahkan,0,negative,-1
Wisata Aer Mata Ibu Arosbaya,5,oke,1,positive,17
Wisata Aer Mata Ibu Arosbaya,3,tempatnya masuk kampung yang belajar mobil disarankan nyupir hehe nanti kebaret mobil bayar tiket parkir mobil dikelola warga warung yang jual minuman khas madura,0,positive,2
Wisata Aer Mata Ibu Arosbaya,5,hening malam,1,positive,3
Wisata Aer Mata Ibu Arosbaya,4,sailnya extrim,1,positive,0
Wisata Aer Mata Ibu Arosbaya,5,tempatnya indah sekali,1,positive,11
Wisata Aer Mata Ibu Arosbaya,5,wisata religius yang adem,1,positive,3
Wisata Aer Mata Ibu Arosbaya,5,palestina terbaik,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,tolong pengemis pintu masuk tertibkan maksa uangselain kawasan jalan makam makam pengemis cenderung memaksa tolong terkait menertibkan pengemis nyaman mengganggu peziarah,1,negative,-1
Wisata Aer Mata Ibu Arosbaya,5,makam aermata tidak sadar desaku aermata indah,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,bagus,1,positive,4
Wisata Aer Mata Ibu Arosbaya,5,bersih suasana nyaman tapi sayang pengemis yang memaksa uang,1,positive,5
Wisata Aer Mata Ibu Arosbaya,4,maaf toilet terjaga kebersigannya,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,kunjungan malam berkeliling,1,positive,3
Wisata Aer Mata Ibu Arosbaya,5,bagus,1,positive,4
Wisata Aer Mata Ibu Arosbaya,3,ziarah yang merakyat,0,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,sayang tidak,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,malam pas sudah sepi pol berdoa khusyuk ziarah seni dekoratif makam ukiran makam menakjubkan alangkah baiknya pengelola menertibkan pengemis memaksaa peziarah disana,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,4,wisata religi aer mata arosbaya terletak kota bangkalan madura jalan mendekati wisata nyaman sempit lubang tiket masuk wisata religinamun jasa parkir kendaraan kendaraan bus susah parkir putar sempit dipenuhi lapak pedagang makam berjalan kaki menapaki tangga menaik di wilayah makam melepas alas kaki makam diperhatikan dinas terkait anak sedekah memaksa mengurangi kenyamanan pengujung selesai makam pengunjung berbelanja aneka buah yang disajikan penjual harga buah yang dijual murah surabaya rekom kalau beli buah arosbaya,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,3,tempatnya asri diriwuhi pengemis dadakan kondisi makam menyenangkan,0,positive,1
Wisata Aer Mata Ibu Arosbaya,4,wisata religi nan indah penuh budaya yang indah sayang yang pol,1,positive,3
Wisata Aer Mata Ibu Arosbaya,5,mengenal sejarah raja madura,1,positive,3
Wisata Aer Mata Ibu Arosbaya,5,tempatnya adem makanannya enak khas beda yang,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,hadeeh pengemis risih,1,positive,10
Wisata Aer Mata Ibu Arosbaya,5,tempatnya enak,1,positive,11
Wisata Aer Mata Ibu Arosbaya,5,sebuah pertama kesana butuh perjuangan keatas dijamin hati tenang stlh ksna,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,bagus,1,positive,4
Wisata Aer Mata Ibu Arosbaya,5,tempatnya nyaman adhem berziarah langsung lihat sumber mata air air mata ambil air sumber air mata yang asli langsung ketempat sumurnya petunjuk arah disana sayangnya disana orang mintayg bergerombol mendesak uang peziarahsemoga kedepannya ditertibkan pengelola makam,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,asri nyaman,1,positive,0
Wisata Aer Mata Ibu Arosbaya,2,mohon maaf kasih bintang meresahkan orang seperti orang ngerampok ambil uang tas anak ketakutan sampai nangis kejerrrr mohon pemda ditertibkan pengemis meresahkan,0,negative,-1
Wisata Aer Mata Ibu Arosbaya,5,jalannya rusak,1,negative,-1
Wisata Aer Mata Ibu Arosbaya,5,tempatnya sejuk mata memandang pepohonan lokasi bukit lingkungan hutan belantara menu beragam sedap harga terjangkau cocok dine di menginap,1,positive,2
Wisata Aer Mata Ibu Arosbaya,4,parkir mobil ribu biaya masuk ribu aksesnya sulit jalannya dalemnya bagus sih foto siang panas sekali,1,positive,2
Wisata Aer Mata Ibu Arosbaya,5,mengesankan wisata religi tidak sih ampar,1,positive,3
Wisata Aer Mata Ibu Arosbaya,4,situs sejarah tandai makamdengan kisah sejarah artefak peninggalannya makam sumber air batu nisan berukir,1,positive,1
Wisata Aer Mata Ibu Arosbaya,4,bersih maaf peminta kesana lihatlah situasi pengemisnya dikasih dikejar,1,positive,5
Wisata Aer Mata Ibu Arosbaya,4,akses jalan aer mata jalan berlobang kurangnya lahan parkir yang memadai,1,positive,5
Wisata Aer Mata Ibu Arosbaya,5,alhamdulilah merasakan airmata bikin cahaya alami skincare,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,3,orang,0,positive,0
Wisata Aer Mata Ibu Arosbaya,5,berkah,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,sunggguhpengallaman yang terlupakan amazing,1,positive,10
Wisata Aer Mata Ibu Arosbaya,3,banyak pengemis nyaga kasih kasihan kasih mengerubuti,0,negative,5
Wisata Aer Mata Ibu Arosbaya,1,jujur ukiran makam memukau orangorang sedekah brutal merebut uang menarik tas putus mohon pengelola memperbaiki menimbulkan trauma pengunjung,0,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,senang tinggal,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,asri adem,1,positive,0
Wisata Aer Mata Ibu Arosbaya,5,pas disana hujan fasilitas,1,positive,9
Wisata Aer Mata Ibu Arosbaya,5,berkah,1,positive,1
Wisata Aer Mata Ibu Arosbaya,4,wisata religi,1,positive,3
Wisata Aer Mata Ibu Arosbaya,5,cincin,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,bgs,1,positive,0
Wisata Aer Mata Ibu Arosbaya,1,mencari barokah,0,positive,1
Wisata Aer Mata Ibu Arosbaya,5,enak nikmat gurih,1,positive,3
Wisata Aer Mata Ibu Arosbaya,5,bersih belajar sejarah agama,1,positive,3
Wisata Aer Mata Ibu Arosbaya,5,menakjubkan,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,sayang sedekah memaksa,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,tempt ziarah,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,1,memaksakan sedekah pengemis yang memaksa,0,negative,5
Wisata Aer Mata Ibu Arosbaya,4,wisata religi yang menyenangkan,1,positive,3
Wisata Aer Mata Ibu Arosbaya,5,bagus,1,positive,4
Wisata Aer Mata Ibu Arosbaya,5,bagustepatnya tpjalannya sempitmohon diperlebar,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,4,sepi karena nyampe malam,1,positive,3
Wisata Aer Mata Ibu Arosbaya,5,insyaallah berkah,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,sejuk,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,bagus tempatnya cocok wisata religi,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,ilmu barilu orang pengaja penampungan air mata airnya sejuk,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,mendekat wali allooh,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,orang sprti memaksa,1,positive,0
Wisata Aer Mata Ibu Arosbaya,4,makamnya kota jam perjalanan hening khusyu sarat makna sayangnya pengemis bertaburan menempel pengunjung parkir bis parkir mobil kendaraan pengunjung luas,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,menyenangkan,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,wisata religi sejarah pulau madura,1,positive,3
Wisata Aer Mata Ibu Arosbaya,1,nyelawat mampir makam air mata ebuh,0,positive,1
Wisata Aer Mata Ibu Arosbaya,5,sip tenan tenang,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,4,kramat arsitektur indah sayang infrastruktur jalan ketempat tersebut nyaman sempit rusak,1,positive,5
Wisata Aer Mata Ibu Arosbaya,5,khidmat aulia allah swt,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,mukhasabah,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,sungguh yang penuh dengan sejarah nyaman peminta yang ngikut yang berani pegang tas pemda tolong diperhatikan pengunjung cepat hitam terimakasih,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,yang bagusdan wajib dikunjungi wisata religi,1,positive,3
Wisata Aer Mata Ibu Arosbaya,5,makam raja madura suasanya nyaman bersih disana sumber air yang segar bersih,1,positive,1
Wisata Aer Mata Ibu Arosbaya,4,bersih pengemis harus siapin uang receh,1,positive,5
Wisata Aer Mata Ibu Arosbaya,5,ziarah dikawasan madura,1,positive,3
Wisata Aer Mata Ibu Arosbaya,3,orang yang terkesan memaksa buat pngunjung nyaman,0,negative,5
Wisata Aer Mata Ibu Arosbaya,5,tempatnya sejuk bersih indah tenang pengemisnya memaksa sodaqoh,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,wisata religi makam syarifah ambami,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,kramat,1,positive,0
Wisata Aer Mata Ibu Arosbaya,2,bagus mantap barokallahtapi sayang orang mintamaksa maksa kalau mintaseharusnya perangkat desa membina biar pengemis sembarangan memaksa dikasih uang peziarahsekian trim,0,positive,-1
Wisata Aer Mata Ibu Arosbaya,3,sarana toilet bersih kadang tidak airnya,0,negative,5
Wisata Aer Mata Ibu Arosbaya,5,tuhan memberkati,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,nyata,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,ramee sihh banyak yang megang baju takutt,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,4,pengemis ya,1,positive,10
Wisata Aer Mata Ibu Arosbaya,5,semoga yang disemoga tersemogakan pengalaman pertama waktu,1,positive,1
Wisata Aer Mata Ibu Arosbaya,2,struktur bangunan bagus sayang perawatan sampah,0,positive,5
Wisata Aer Mata Ibu Arosbaya,4,ziaroh dengan tangga makam bersih parkir luas,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,sungguh indah pemandangan nya,1,positive,12
Wisata Aer Mata Ibu Arosbaya,5,mengunjungi makam ratu syarifah ambami pas datangnya mulud sepi ya teman ya sssttt pengemis nya sampai banyaknya,1,positive,2
Wisata Aer Mata Ibu Arosbaya,5,objek wisata aer mata,1,positive,3
Wisata Aer Mata Ibu Arosbaya,3,lokasi nya enakcm lokasi parkir yang,0,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,konon makam waliyullah perempuan sarifah ambani keturunan sunan giri bertirakat bertapa dimana air mata tangisannya memenuhi sekililing pertapaannya hayat yamg mata air disakralkan lakukan wujud pengorbanan cinta suaminya raja cakraningrat memintanya bertirakatbertapa memohon keturunannya raja madura,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,wahhhluar segerbersihnyaman,1,positive,0
Wisata Aer Mata Ibu Arosbaya,5,bengkel ramah,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,berkah,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,tertata,1,negative,0
Wisata Aer Mata Ibu Arosbaya,4,wisata religi itibar perjuangan muslimah sayang pengemis mrk orang fakir miskin pemalas menengadahkan tangan pendapatannya setara dengan pnsasn golongan ii mk sedekah disalurkan percaya diri mrk gurau pengemis yang langsung ngeroyok mohon aparat melarang pengemis bikin malu orang madura saja,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,masjidnya terlatak diatas bebatuan mudah sholat wudhu sebelah bawahnya sumur diyakini bekas sumber air mata syarifah ambani wallahualam,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,wisata religi ratu ebuh arosbaya makamnya puncak bukit,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,masyaallah bersejarah yang cerita kamu patut amalkan sebagai sumber mata airnya yang mnjdi keberkahan tersendiri mengisahkan kamu mnjdi contoh yang semoga terjaga kelestariannya,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,berziarah makam waliyullah tujuan mengharapkan ridho allah,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,wisata religi,1,positive,3
Wisata Aer Mata Ibu Arosbaya,3,wisata religi sejarah pemerintah memperhatikan pengelolaannya,0,negative,5
Wisata Aer Mata Ibu Arosbaya,5,penuh makna cerita,1,positive,0
Wisata Aer Mata Ibu Arosbaya,4,panorama yang indah ramah susana nya,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,merekomendasikan,1,positive,8
Wisata Aer Mata Ibu Arosbaya,3,wisata religi yang bagus sayangnya peminta yang anak anak,0,negative,3
Wisata Aer Mata Ibu Arosbaya,5,foto bukit kapur tapi masih area wisata aer mata wisata alam yang masih blm orang tau jd tempatnya masih sepi bagus foto juga foto prewedding,1,positive,2
Wisata Aer Mata Ibu Arosbaya,3,harap berhatihati kesana orang yang suka memaksa narik baju,0,negative,5
Wisata Aer Mata Ibu Arosbaya,4,bagus tempatnya minus nya orang jalan,1,positive,6
Wisata Aer Mata Ibu Arosbaya,5,yang energi spiritual,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,1,religi,0,positive,0
Wisata Aer Mata Ibu Arosbaya,5,bersih,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,rame wisatawan religi pulau,1,positive,3
Wisata Aer Mata Ibu Arosbaya,5,cakep,1,positive,10
Wisata Aer Mata Ibu Arosbaya,4,sepi pengunjung,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,4,penuh sejarah nyaman jasa orangtua yang tergantikan hati peminta uang jaga brg bawaan tolong ditertibkan,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,rame sayangnya kesana pas malam tidak pemandangannya,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,mantap,1,positive,8
Wisata Aer Mata Ibu Arosbaya,1,kepedulian dinas terkait pengaturan pkl makan parkir kendaraan semrawut bis berkunjung putar bis parkir terhalang tenda tenda payung payung pkl,0,negative,-1
Wisata Aer Mata Ibu Arosbaya,4,destinasi wisata religi dimadura diakses bus pariwisata,1,positive,3
Wisata Aer Mata Ibu Arosbaya,3,saran petugas dsana suka memaksa pengunjungpengunjung ikhlas,0,negative,-1
Wisata Aer Mata Ibu Arosbaya,4,meningkatkan taaruf sang pencipta mendoakan sang ulama sepuh,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,subhanallah,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,wajib kesini,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,4,mendeskripsikan kesana,1,positive,0
Wisata Aer Mata Ibu Arosbaya,3,pengemisnya tidak sopan,0,negative,0
Wisata Aer Mata Ibu Arosbaya,5,tempatnya sepi enak,1,positive,11
Wisata Aer Mata Ibu Arosbaya,3,bagus batu gunung yang dipotong dijadikan batu bangunan sayangnya lokasi terawat,0,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,ya alhamdulilah orang sedekah,1,positive,0
Wisata Aer Mata Ibu Arosbaya,5,lupa kali makam ratu syarifah ambami disempatkan ketempat sumber nya air nya yang asli dikarnakan air diedarkan diluar peziarah turun sumber nya buka jam,1,positive,1
Wisata Aer Mata Ibu Arosbaya,2,suasana nya masih asri aslibener sprti masuk dalam zamannya sarifah ambanitp kekhusukan terganggu ibu yang sedekahnya memaksa kpd pe ziarah mestinya sikapi pengelola makamjgn peziarah nanti enggan tempatnya langsung memilih kirim fatihah mkm saikhona kholilmohon perhatian nya kpd pengelola pejabat yang berwenang salam al amin,0,negative,1
Wisata Aer Mata Ibu Arosbaya,5,pesarean religius disayangkan sumber nya dihalang halangi kebersihan dibilang tutup sumber nya buka jam turun kebawah air sumber nya asli yang dijual dimakam pesarean air sumur kampung dikemas botol bekas dikasih lebel disayangkan kejelasan penunggu makam diperbolehkan,1,positive,1
Wisata Aer Mata Ibu Arosbaya,3,tempatnya sejuk ditempat sayang pengemis makam risih nya maksa dikejar,0,negative,-1
Wisata Aer Mata Ibu Arosbaya,5,makamnya bersih risih pengemisny yang memaksa,1,positive,1
Wisata Aer Mata Ibu Arosbaya,4,lumayan bagus mhn ojolnya ditertibkan,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,wisata religi mengenal sejarah,1,positive,3
Wisata Aer Mata Ibu Arosbaya,5,alhamdulilah bagus,1,positive,0
Wisata Aer Mata Ibu Arosbaya,5,bersejarah,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,tempatnya bagus,1,positive,11
Wisata Aer Mata Ibu Arosbaya,5,luaaaar,1,positive,10
Wisata Aer Mata Ibu Arosbaya,5,bibarokatil,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,4,ziarah libur lebaran suasana sejuk,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,situssejarah kerajaan kabupaten bangkalan madura tepatnya kecamatan arosbaya,1,positive,3
Wisata Aer Mata Ibu Arosbaya,4,suasana tenang bagus penuh sejarah,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,menarik,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,alhamdulilah,1,positive,14
Wisata Aer Mata Ibu Arosbaya,5,bersejarah,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,bagus,1,positive,4
Wisata Aer Mata Ibu Arosbaya,5,alhamdulilah ziarah makam mbah syarifah aer mata ebhu semoga barokah,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,senang,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,dinsos kabupaten kondisikan yang pengemis pengunjung risih,1,positive,5
Wisata Aer Mata Ibu Arosbaya,5,enak ini wisata religius sore direkomendasikan aneka ragam makanan vibesnya dapat bagus,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,3,ziarah asri sejukhanya terkadang pengemis mengganggu,0,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,bersejarah umat islam yang inspirasi kaum,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,rapi bersih peminta,1,positive,0
Wisata Aer Mata Ibu Arosbaya,4,alami situasi tenang,1,positive,16
Wisata Aer Mata Ibu Arosbaya,5,asyik,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,pemandangan yang indah tenang sakral,1,positive,12
Wisata Aer Mata Ibu Arosbaya,5,salah wisata religi madura makamnya bagus makam raja imogiri jogja sumber mata air yang nyembuhin penyakit lokasinya dibawah makam makan kekiri turun tangga airnya segar sumurnya langsung dispensernya airnya dingin wkwk yang jual airnya sebotol aqua harganya rp akses kesana mudah jalannya lubang tapi aman dilewati pengemis parkir makam saran kasih uang pengemisnya ngasih dikerubungi sama pengemis yang sampai ngasih pergi parkirnya mobil rp,1,positive,2
Wisata Aer Mata Ibu Arosbaya,5,mencari keberkahan,1,positive,1
Wisata Aer Mata Ibu Arosbaya,3,pesarean bersih terawat sayangnya minim area parkir bus pengemis meresahkan pemangku desa seminar untuk berwirausaha jalan menghidupkan perekonomian warga daripada,0,negative,-1
Wisata Aer Mata Ibu Arosbaya,5,makam pangeran cakraningrat i vi ratu syarifah ambami tempatnya,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,bagus sekali,1,positive,0
Wisata Aer Mata Ibu Arosbaya,4,tuhan memberkati,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,sejuk tempatnya sohibul maqam hadir keliling rumah,1,positive,1
Wisata Aer Mata Ibu Arosbaya,4,bersejarah yang di madura dsana bnyak pengemis yang kadang orang infil kadang yang smpek mnjambak baju peziarah,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,3,tertata,0,negative,0
Wisata Aer Mata Ibu Arosbaya,5,amazingmagicaldi sudut saja estetik benar indah sekali wajib ngulang ini ramah goweser bebas masuk kemarin premannya jd bayar seiklasnya gowes aku berair atau ya liccinnini fotonya arosbaya aku basah video,1,positive,2
Wisata Aer Mata Ibu Arosbaya,5,hatihati air diedarkan dipesarean palsu karena air keramatnya asli peziarah ambil ketempat sumber nya terletak dibawah pesarean petunjuk arah nya diikuti pintu samping arah masjid,1,positive,1
Wisata Aer Mata Ibu Arosbaya,1,pengemis,0,negative,0
Wisata Aer Mata Ibu Arosbaya,4,nyaman,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,semoga keberkahan,1,positive,1
Wisata Aer Mata Ibu Arosbaya,5,wisata religi iburamah,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,4,salah wisata religi pulau madura yang kunjungi karena sarat sejarah kerajaan madura tempatnya bukit yang indah sumber mata air yang konon untuk pengobatan,1,positive,2
Wisata Aer Mata Ibu Arosbaya,2,pemberdayaan masyarakat,0,positive,0
